period,duration,depth,planet_radius,stellar_temperature,stellar_gravity,stellar_radius,magnitude,snr,equilibrium_temp,disposition
7.21203748,4.0491,950.4,3.32,6214,4.442,1.076,15.541,51.5,1025,1
14.1798187,2.505,459.9,1.88,5799,4.539,0.878,15.727,11.2,711,0
8.47237911,2.7245,1123.5,2.59,5354,4.587,0.788,15.339,47.6,751,1
60.4189369,5.039,931.3,2.36,5354,4.587,0.788,15.339,20.1,390,1
12.61190435,5.1497,6105.6,7.4,5795,4.508,0.919,15.14,277.2,753,1
1.433769925,1.8868,1976.3,46.58,6017,4.22,1.339,15.122,112.6,1920,0
10.31872301,3.836,871.7,28.59,5927,4.409,1.06,15.065,38.2,876,0
2.539183147,2.4282,382.1,2.06,5519,4.35,1.062,15.026,38.9,1332,1
6.770300385,2.0844,1304,2.77,5653,4.656,0.679,15.591,50.8,812,1
0.444291966,2.0792,10967,27.51,5255,4.678,0.636,15.748,299.7,1836,0
10.181584,3.5089,5741.1,7.73,5988,4.541,0.836,15.657,183.6,812,2
20.06036336,3.3203,1494.7,1.96,3950,4.754,0.493,15.954,35.2,361,1
46.1842039,4.758,1394.7,1.83,3950,4.754,0.493,15.954,26,273,1
23.9800854,5.351,104,1.31,5854,4.406,1.012,12.882,17.1,649,1
7.82502168,2.186,520.8,1.2,3950,4.754,0.493,15.954,15.9,494,1
3.895936525,2.3111,8544.8,7.34,5557,4.592,0.774,15.725,370.8,1005,1
22.36646466,5.228,986.8,2.32,5395,4.615,0.734,15.583,32.1,536,1
1.625522174,2.38963,7969,9.73,5539,4.322,1.106,15.001,799.7,1579,1
19.62034692,2.0038,21725,13.6,5710,4.492,0.905,15.562,340.5,643,2
7.544039,6.222,322.6,17.47,5657,4.567,0.824,15.559,14.2,838,0
9.02930689,3.1449,1019.8,2.57,5349,4.526,0.82,15.387,53.9,757,1
10.32803571,7.7915,16918,13.28,5627,4.359,1.024,15.646,636.8,843,0
143.2063047,8.9302,10566,8.9,5485,4.556,0.867,15.403,138.8,308,1
6.164876,3.262,55.8,0.79,5854,4.406,1.012,12.882,14.4,1021,1
60.32494216,6.6188,20280,12.19,5485,4.556,0.867,15.403,347.2,411,1
29.1598615,4.803,488,1.91,5485,4.556,0.867,15.403,11.6,524,1
1.540397253,2.1541,816.1,25.69,5663,4.53,0.915,15.974,38.8,1470,0
2.99025443,5.414,589.2,1.7,4667,4.578,0.731,15.842,48.5,918,0
1.594745374,1.9604,15044,11.3,5934,4.491,0.893,15.53,1009.3,1539,1
4.783002698,2.335,1008.7,2.5,5170,4.574,0.807,15.119,70.6,886,1
20.50588921,4.0595,2105.5,3.41,4905,4.544,0.761,15.398,78.5,518,1
3.340218842,1.9104,1632.6,2.03,3950,4.754,0.493,15.954,71.6,656,1
2.507089906,2.0067,1339.2,30.26,5926,4.506,0.939,15.555,64.9,1326,0
18.64932728,4.4056,893.6,3.12,5775,4.405,1.053,15.386,46.1,701,1
4.90144976,4.1654,140.7,1.7,5847,4.191,1.402,12.487,50.6,1262,1
9.75192101,4.793,418,2.76,5775,4.405,1.053,15.386,28.5,870,1
38.5576546,5.794,993,4.02,5775,4.405,1.053,15.386,39.7,550,1
3.525632539,2.59959,22335,11.58,5150,4.572,0.793,15.224,1996.7,975,1
34.84398644,2.9315,4523.6,7.61,5509,4.482,0.871,15.684,76.8,511,2
7.748094239,3.5957,2472.1,5.52,5973,4.439,1.085,15.67,113.2,964,1
23.96793669,3.827,1182.3,1.8,3747,4.728,0.524,15.414,27.5,329,1
8.29561738,1.3421,824.3,1.82,3747,4.728,0.524,15.414,17.9,469,1
8.11437482,2.2736,1558,2.1,3692,4.753,0.517,15.877,56.4,460,1
38.03672948,4.34617,82872,27.5,5575,4.521,0.932,15.472,1300,500,0
4.64090031,35.512,2450.6,30.09,6463,4.5,0.826,15.27,296.9,1155,2
3.747838198,5.0642,616,13.65,5514,4.569,0.826,13.496,138.2,1031,0
14.74914825,6.0995,430.2,2.89,5847,4.191,1.402,12.487,107.4,874,1
21.81295996,4.3791,1175.4,3.38,5601,4.41,0.999,15.54,37.8,639,1
7.91936937,3.3148,15148,10.34,5690,4.588,0.776,15.805,389,814,0
1.028436523,1.8606,8098,72.77,6228,4.428,0.99,15.202,89.6,1947,2
15.37562369,3.3169,15337,11.01,4986,4.496,0.833,16.422,166,600,1
8.10363271,3.161,887.9,2.11,4861,4.574,0.732,15.289,39.3,687,1
4.71510843,2.506,417.5,1.46,4861,4.574,0.732,15.289,21.3,823,1
6.365839713,2.9721,780.7,2.44,5776,4.554,0.849,15.09,70.8,914,1
5.97581754,3.065,962.4,3.86,6108,4.471,0.997,15.546,50.3,1047,0
2.446737317,4.7211,1177.9,26.25,5764,4.548,0.863,15.021,110.2,1261,0
3.04033046,1.8411,10859,8.99,5035,4.519,0.791,15.028,568.2,1021,1
15.33528675,3.897,3081.4,5,5251,4.581,0.817,15.855,86.6,610,1
7.95825328,4.377,50,1.06,5847,4.191,1.402,12.487,14.7,1074,1
31.33046135,5.176,5073.8,6.5,5251,4.581,0.817,15.855,117.2,481,1
3.9043425,3.831,16228,12.28,5810,4.526,0.898,15.016,323.4,1104,0
9.286358079,3.49949,44791,17.61,5670,4.523,0.821,15.365,1671.1,796,0
3.951405455,2.1862,2453.9,31.44,6046,4.539,0.869,15.446,117.2,1133,0
23.65369415,8.2183,3341.8,7.89,5739,4.191,1.384,15.084,266.3,731,1
13.23352214,6.7372,504.6,3.06,5739,4.191,1.384,15.084,49.1,888,1
6.15560285,4.9843,285,2.32,5739,4.191,1.384,15.084,35.1,1146,1
2.090811305,3.388,115.9,1.62,5739,4.191,1.384,15.084,19.9,1642,1
3.180027898,3.5797,120.3,1.53,5847,4.191,1.402,12.487,50.4,1458,1
50.4467417,7.159,370.3,2.67,5739,4.191,1.384,15.084,19.4,568,1
11.76307164,2.9076,1037.3,2.35,4959,4.603,0.756,15.208,48.9,616,1
56.2279271,3.57,862.7,2.37,4959,4.603,0.756,15.208,20.9,366,1
2.384052875,3.0918,1268.1,17.06,4794,4.58,0.701,15.836,50.5,1010,0
7.953547,2.6312,875.4,2.25,4768,4.536,0.779,15.66,38.4,696,1
4.14451656,2.3421,391.8,1.48,4768,4.536,0.779,15.66,22.8,864,1
4.859386384,2.2757,6044.3,38.33,6072,4.47,0.988,15.311,269.7,1114,0
10.52629458,2.5211,9768,8.24,5386,4.553,0.793,15.305,482.3,713,1
4.583520948,2.7055,3812.1,5.39,5815,4.54,0.877,15.287,99.5,1038,1
3.76181843,3.5176,510.6,2.66,5653,4.472,0.949,15.257,35.9,1121,1
8.20396958,2.9667,1024.4,3.01,5015,4.499,0.826,15.376,54.4,742,1
14.49645186,4.016,647.5,3.01,5015,4.499,0.826,15.376,25.7,613,1
6.54626149,2.75,655.9,2.19,5251,4.581,0.817,15.855,24.8,810,1
12.71809866,3.0957,1149.4,2.31,4702,4.592,0.686,15.389,52.7,562,1
36.06588163,4.3246,1563.8,2.64,4702,4.592,0.686,15.389,51.7,397,1
4.190425659,2.8589,2877.4,6.21,6073,4.392,1.135,15.27,240.6,1234,1
3.709870784,3.0694,2020.3,4.35,5727,4.463,0.978,15.581,116.1,1151,1
16.3297527,6.271,1187.5,3.75,5878,4.444,0.987,15.447,74.6,727,1
27.80756622,4.21587,25391,13.84,5862,4.584,0.785,15.482,748.1,554,1
80.8723469,11.195,3604.6,7.59,5510,4.222,1.238,15.201,160.9,452,1
3.166465862,2.9381,4357.2,26.82,4968,4.575,0.704,15.999,122.1,954,0
24.99324319,5.9409,269.6,2.29,5718,4.181,1.317,12.377,62,712,1
10.35533116,3.1775,750.6,2.47,5501,4.462,0.918,15.018,49.2,777,1
16.08518937,3.984,1442.4,3.68,5239,4.523,0.826,15.219,62.6,613,1
235.9986399,8.2284,20715,10.59,4245,4.627,0.657,15.172,271.8,188,2
7.49018305,2.7297,1123.6,2.56,5103,4.562,0.787,15.599,53,753,1
36.2761238,4.7865,1572.6,3.03,5103,4.562,0.787,15.599,45.5,445,1
17.46087931,2.2641,812.4,2.32,5103,4.562,0.787,15.599,22.6,568,1
56.0560754,4.685,1626,1.94,3593,4.757,0.491,15.849,27.4,233,1
41.40831669,5.0264,22839,11.38,5522,4.586,0.747,15.196,907.8,453,1
39.74893077,7.3051,15179,14.21,6122,4.487,0.964,15.344,561.1,552,2
5.715425977,2.5242,908.1,2.47,5237,4.572,0.826,15.086,59.4,850,1
49.18394185,11.3364,1646.2,8.2,5626,3.907,2.057,12.654,355.7,669,1
20.0261412,1.611,421.2,2.28,5237,4.572,0.826,15.086,10.7,559,1
13.61014819,2.594,5732.9,19.02,5697,4.46,0.903,15.06,184.1,733,2
10.44331991,2.743,1159.8,2.66,4947,4.516,0.802,15.546,51.7,667,0
2.237489571,1.8119,315.8,1.41,5265,4.58,0.81,15.001,30.7,1160,1
5.851520671,3.11058,33004,14.62,5532,4.53,0.806,15.33,1630.4,901,0
3.167893418,2.1814,781.2,2.62,5895,4.503,0.94,15.533,64.8,1221,1
4.311780262,2.7251,1154,3.11,5527,4.484,0.927,15.604,86.1,1038,1
20.0504494,4.556,840.9,2.69,5527,4.484,0.927,15.604,37.8,622,1
9.76734503,1.6585,569.1,2.67,5527,4.484,0.927,15.604,21.1,791,1
119.0207044,8.1405,7430.5,8.98,5453,4.342,1.062,15.085,223.5,366,2
190.3200468,15.284,1141.7,7.78,5626,3.907,2.057,12.654,139.3,426,1
2.861159894,1.8832,1014.3,4.37,6126,4.458,1.021,15.618,58.3,1355,0
26.44439337,3.9783,1843.5,3.91,5427,4.463,0.929,15.158,88,562,1
51.53997972,6.3994,3644.3,5.51,5427,4.463,0.929,15.158,155.5,450,1
5.902245782,2.9003,702.3,2.43,5427,4.463,0.929,15.158,59.3,926,1
2.382951591,1.8876,391.6,1.86,5427,4.463,0.929,15.158,41.4,1253,1
21.02250608,4.1072,1772.5,3.07,5067,4.585,0.75,15.859,62.4,521,1
3.219814777,2.0642,488.2,1.69,5103,4.562,0.787,15.599,30.5,998,1
5.912273234,2.3254,961.4,1.73,4072,4.696,0.57,15.036,62.8,585,1
8.98581901,2.8606,881.3,1.65,4072,4.696,0.57,15.036,51.8,509,1
12.94066866,2.4845,42450,22.94,5875,4.572,0.809,15.215,307.5,723,2
20.5452375,2.517,218.5,2.41,5670,4.206,1.264,12.003,18.5,742,0
33.60123371,4.4056,7425.9,8.46,5149,4.447,0.93,15.262,247.9,495,1
6.76652928,2.9004,450.7,1.97,5149,4.447,0.93,15.262,29.2,845,1
4.347288783,2.1024,451.6,2.36,5754,4.345,1.122,15.024,39.7,1174,1
4.601811819,2.2607,755.9,2.35,4986,4.496,0.833,15.024,60.8,896,1
11.18719905,3.252,353.6,1.55,4986,4.496,0.833,15.024,21.9,667,1
4.220965778,3.0854,2260,2.62,3837,4.747,0.517,15.692,157.8,595,1
6.998099523,2.0488,20285,588.66,5612,4.566,0.829,15.877,192.3,853,0
5.95489993,2.3892,1410.7,2.33,4261,4.641,0.633,15.019,87.2,635,1
12.03987488,2.7363,1250.6,2.18,4261,4.641,0.633,15.019,57.6,502,1
20.83762895,2.3734,439,1.42,4261,4.641,0.633,15.019,14.9,418,1
8.8111022,5.0683,401.1,63.66,6200,3.8,2.404,12.759,76.8,1399,0
23.58917143,5.073,1200.7,3.16,4919,4.566,0.721,15.316,53.3,487,1
6.481633073,3.784,298.5,2.54,5945,4.213,1.302,12.365,125.6,1145,1
10.37168928,3.035,1254.9,3.2,5121,4.457,0.888,15.193,64.5,720,1
3.96996298,1.1757,299.2,1.78,5121,4.457,0.888,15.193,15,992,1
4.40841331,5.012,549.4,2.66,6007,4.457,0.961,15.662,45.1,1139,1
7.9426176,6.703,1590.7,4.68,5811,4.521,0.926,15.26,60.4,878,0
226.8904775,7.558,3136.4,4.53,5067,4.585,0.75,15.859,46.8,236,1
1.956811408,2.1958,24905,21.58,5209,4.657,0.603,15.533,125.4,1109,0
2.688899233,2.11275,37492,12.04,4820,4.667,0.639,15.766,1011.6,929,2
9.439459486,2.8979,3036.1,4.16,5097,4.597,0.779,15.067,175.2,686,1
11.52306746,3.8757,507.3,3.13,5644,4.162,1.411,12.346,142,927,1
20.47748843,2.8364,1382.4,2.92,5097,4.597,0.779,15.067,52.7,530,1
3.336123113,1.9616,516.3,1.74,5097,4.597,0.779,15.067,41.6,970,1
8.01078456,2.312,1333.6,1.72,3713,4.779,0.47,15.847,48.5,453,1
12.07134205,4.3224,759.2,1.29,3713,4.779,0.47,15.847,31,395,1
20.99587872,2.6333,767.3,1.3,3713,4.779,0.47,15.847,18.2,328,1
7.41113177,2.5242,620.5,2.45,5849,4.517,0.919,15.031,50.4,905,1
1.000747038,0.9967,1823.5,4.14,5472,4.499,0.79,15.419,147.4,1620,0
