koi_disposition,koi_period,koi_duration,koi_depth,koi_prad,koi_steff,koi_slogg,koi_srad,koi_kepmag,koi_model_snr,koi_teq
2,19.62034692,2.0038,2.1725e+04,13.6,5710,4.492,0.905,15.562,340.5,643
0,7.544039,6.222,3.2260e+02,17.47,5657,4.567,0.824,15.559,14.2,838
1,9.02930689,3.1449,1.0198e+03,2.57,5349,4.526,0.82,15.387,53.9,757
0,10.32803571,7.7915,1.6918e+04,13.28,5627,4.359,1.024,15.646,636.8,843
1,143.2063047,8.9302,1.0566e+04,8.9,5485,4.556,0.867,15.403,138.8,308
1,6.164876,3.262,5.5800e+01,0.79,5854,4.406,1.012,12.882,14.4,1021
1,60.32494216,6.6188,2.0280e+04,12.19,5485,4.556,0.867,15.403,347.2,411
1,29.1598615,4.803,4.8800e+02,1.91,5485,4.556,0.867,15.403,11.6,524
0,1.540397253,2.1541,8.1610e+02,25.69,5663,4.53,0.915,15.974,38.8,1470
0,2.99025443,5.414,5.8920e+02,1.7,4667,4.578,0.731,15.842,48.5,918
1,1.594745374,1.9604,1.5044e+04,11.3,5934,4.491,0.893,15.53,1009.3,1539
1,4.783002698,2.335,1.0087e+03,2.5,5170,4.574,0.807,15.119,70.6,886
1,20.50588921,4.0595,2.1055e+03,3.41,4905,4.544,0.761,15.398,78.5,518
1,3.340218842,1.9104,1.6326e+03,2.03,3950,4.754,0.493,15.954,71.6,656
0,2.507089906,2.0067,1.3392e+03,30.26,5926,4.506,0.939,15.555,64.9,1326
1,18.64932728,4.4056,8.9360e+02,3.12,5775,4.405,1.053,15.386,46.1,701
1,4.90144976,4.1654,1.4070e+02,1.7,5847,4.191,1.402,12.487,50.6,1262
1,9.75192101,4.793,4.1800e+02,2.76,5775,4.405,1.053,15.386,28.5,870
1,38.5576546,5.794,9.9300e+02,4.02,5775,4.405,1.053,15.386,39.7,550
1,3.525632539,2.59959,2.2335e+04,11.58,5150,4.572,0.793,15.224,1996.7,975
2,34.84398644,2.9315,4.5236e+03,7.61,5509,4.482,0.871,15.684,76.8,511
1,7.748094239,3.5957,2.4721e+03,5.52,5973,4.439,1.085,15.67,113.2,964
1,23.96793669,3.827,1.1823e+03,1.8,3747,4.728,0.524,15.414,27.5,329
1,8.29561738,1.3421,8.2430e+02,1.82,3747,4.728,0.524,15.414,17.9,469
1,8.11437482,2.2736,1.5580e+03,2.1,3692,4.753,0.517,15.877,56.4,460
0,38.03672948,4.34617,8.2872e+04,27.5,5575,4.521,0.932,15.472,1300,500
2,4.64090031,35.512,2.4506e+03,30.09,6463,4.5,0.826,15.27,296.9,1155
0,3.747838198,5.0642,6.1600e+02,13.65,5514,4.569,0.826,13.496,138.2,1031
1,14.74914825,6.0995,4.3020e+02,2.89,5847,4.191,1.402,12.487,107.4,874
1,21.81295996,4.3791,1.1754e+03,3.38,5601,4.41,0.999,15.54,37.8,639
0,7.91936937,3.3148,1.5148e+04,10.34,5690,4.588,0.776,15.805,389,814
2,1.028436523,1.8606,8.0980e+03,72.77,6228,4.428,0.99,15.202,89.6,1947
1,15.37562369,3.3169,1.5337e+04,11.01,4986,4.496,0.833,16.422,166,600
1,8.10363271,3.161,8.8790e+02,2.11,4861,4.574,0.732,15.289,39.3,687
1,4.71510843,2.506,4.1750e+02,1.46,4861,4.574,0.732,15.289,21.3,823
1,6.365839713,2.9721,7.8070e+02,2.44,5776,4.554,0.849,15.09,70.8,914
